[2017-10-04T19:43:50-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b6b1492b88; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2017-10-04T19:44:01-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b6b1492b88; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-10-04T19:45:13-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b6b1492b88; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-10-04T19:48:42-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b6b1492b88; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-10-04T19:48:42-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b6b1492b88; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2017-10-04T19:50:37-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b6b1492b88; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2017-10-04T19:50:37-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b6b1492b88; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2017-10-04T21:35:24-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b6b1492b88; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2017-10-04T21:35:24-0500] DFHack 0.43.05-r2-0-g48a61420 on Windows; cwd md5: b6b1492b88; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
